City: Albuquerque, Avg Temperature: 5.79, Avg Humidity: 29.00
City: Phoenix, Avg Temperature: 14.90, Avg Humidity: 30.00
City: Pittsburgh, Avg Temperature: 13.46, Avg Humidity: 94.00
City: Plano, Avg Temperature: 15.78, Avg Humidity: 75.00
City: Portland, Avg Temperature: 7.36, Avg Humidity: 94.00
City: Raleigh, Avg Temperature: 9.28, Avg Humidity: 90.00
City: Reno, Avg Temperature: 7.28, Avg Humidity: 69.00
City: Richmond, Avg Temperature: 10.54, Avg Humidity: 95.00
City: Riverside, Avg Temperature: 12.55, Avg Humidity: 43.00
City: Sacramento, Avg Temperature: 10.93, Avg Humidity: 87.00
City: Saint Paul, Avg Temperature: -0.01, Avg Humidity: 75.00
City: San Antonio, Avg Temperature: 21.54, Avg Humidity: 80.00
City: San Diego, Avg Temperature: 14.17, Avg Humidity: 76.00
City: San Francisco, Avg Temperature: 11.44, Avg Humidity: 91.00
City: San Jose, Avg Temperature: 11.17, Avg Humidity: 88.00
City: Santa Ana, Avg Temperature: 14.49, Avg Humidity: 69.00
City: Scottsdale, Avg Temperature: 14.35, Avg Humidity: 32.00
City: Seattle, Avg Temperature: 6.87, Avg Humidity: 88.00
City: Spokane, Avg Temperature: -0.17, Avg Humidity: 95.00
City: St. Louis, Avg Temperature: 8.82, Avg Humidity: 65.00
City: St. Petersburg, Avg Temperature: -6.64, Avg Humidity: 84.00
City: Stockton, Avg Temperature: 10.10, Avg Humidity: 93.00
City: Tampa, Avg Temperature: 21.17, Avg Humidity: 93.00
City: Toledo, Avg Temperature: 5.18, Avg Humidity: 91.00
City: Tucson, Avg Temperature: 15.54, Avg Humidity: 25.00
City: Tulsa, Avg Temperature: 9.75, Avg Humidity: 58.00
City: Virginia Beach, Avg Temperature: 10.01, Avg Humidity: 96.00
City: Washington, Avg Temperature: -0.49, Avg Humidity: 89.00
City: Wichita, Avg Temperature: 5.89, Avg Humidity: 57.00
City: Winston-Salem, Avg Temperature: 9.45, Avg Humidity: 96.00
